department;number;valid_to;call_sign;category;transmitter_power;operator_1;operator_2;operator_3;applicant_name;applicant_city;applicant_street;applicant_house;applicant_number;enduser_name;enduser_city;enduser_street;enduser_house;enduser_number;station_city;station_street;station_house;station_number
UKE-GdaÒsk;0007/K/E/2012;2017-01-27;SP2KAC;1;500;SP2FGO;SP2BEM;SP2HPM;Liga Obrony Kraju;Warszawa;ul. Chocimska;14;;Klub £πcznoúci LOK SP2KAC;GdaÒsk;ul. Kopernika;16;;GdaÒsk;Kopernika;16;
UKE-GdaÒsk;0008/K/E/2012;2017-01-27;SP2KFD;1;500;SP2NBV;SP2WDV;SP2TFZ;Liga Obrony Kraju;Warszawa;ul. Chocimska;14;;Klub £πcznoúci LOK SP2KFD;STAROGARD GDA—SKI;ul. Zielona;18;;STAROGARD GDA—SKI;ul. Zielona;18;
UKE-GdaÒsk;0009/K/E/2012;2017-01-27;SP2KFW;1;500;SQ2DYF;SP2HJQ;SQ2HCA;Liga Obrony Kraju;Warszawa;ul. Chocimska;14;;Klub £πcznoúci LOK SP2KFW;Chojnice;ul. £uøycka;1;;CHOJNICE;ul. £uøycka;1;
UKE-GdaÒsk;0011/K/E/2012;2017-01-30;SP2ZIE;1;500;SP2HQY;SQ2KL;SQ4AFR;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;Morski Klub £πcznoúci Szkuner SP2ZIE przy Akademii Morskiej w Gdyni;Gdynia;ul. Beniowskiego;20-22;;Gdynia;Beniowskiego;20-22;
UKE-Bydgoszcz;12/K/D/2016;2017-01-31;HF2017HNY;T;500;SQ2JK;SQ2KLU;;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;Bydgoszcz;ul. Kujawska;48;33
UKE-Warszawa;74/K/B/2012;2017-01-31;SP5ZIP;1;500;SQ5VJA;SP5VIW;SP5UAR;CHOR•GIEW STO£ECZNA ZHP;Warszawa;ul. Piaskowa;4;;Harcerski Klub £πcznoúci SP5ZIP;Warszawa;Kasprowicza;107;;Warszawa;ul. Kasprowicza;107;
UKE-Warszawa;76/K/B/2012;2017-01-31;SP5ZRW;1;150;SP5UAR;SP5VIW;SP5COC;CHOR•GIEW STO£ECZNA ZHP;Warszawa;ul. Piaskowa;4;;Harcerski Klub £πcznoúci SP5ZRW;WARSZAWA;Al. SztandarÛw;2;;Warszawa;Al. SztandarÛw;2;
UKE-Olsztyn;1/K/M/2012;2017-02-01;SP4PAL;1;150;SQ4KLM;SP4EZL;SQ4IOP;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9A;16;OlsztyÒski Oddzia≥ Polskiego Zwiπzku KrÛtkofalowcÛw;Olsztyn;Ba≥tycka;37A;;Braniewo;Moniuszki;9A;
UKE-GdaÒsk;0012/K/E/2012;2017-02-03;SP2POL;1;150;SP2JJ;SP2Y;SQ2MMG;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;SP2POL Policyjny Klub przy KPP w Kwidzynie;KWIDZYN;ul. Mi≥osna;18;;KWIDZYN;ul. Koúciuszki;30;
UKE-GdaÒsk;0014/K/E/2012;2017-02-03;SP2PIT;1;150;SP2CYK;SP2Y;SP2QCW;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;Klub KrÛtkofalowcÛw SP2PIT;KWIDZYN;ul. Staszica;15A;;KWIDZYN;ul. Staszica;15A;
