department;number;valid_to;call_sign;category;transmitter_power;operator_1;operator_2;operator_3;applicant_name;applicant_city;applicant_street;applicant_house;applicant_number;enduser_name;enduser_city;enduser_street;enduser_house;enduser_number;station_city;station_street;station_house;station_number
UKE-Warszawa;104/K/B/2012;2017-11-23;SP5PCI;1;150;SP5YQ;SP5ULH;SP5COY;Wojskowa Akademia Techniczna im. Jaros≥awa Dπbrowskiego w Warszawie;Warszawa;ul. Gen.S.Kaliskiego;2;;Klub KrÛtkofalowcÛw przy Wojskowej Akademii Technicznej;Warszawa;ul. Gen.S.Kaliskiego;2;;Warszawa;ul. Gen.S.Kaliskiego;2;
UKE-Olsztyn;4/K/M/2012;2017-11-27;SP4KHM;1;500;SP4SHL;SP4EJZ;SP4JTE;Liga Obrony Kraju;Warszawa;Chocimska;14;;Klub £πcznoúci  LOK SP4KHM;Biskupiec;Koúciuszki;3;;Biskupiec;Koúciuszki;3;
UKE-Olsztyn;5/K/M/2012;2017-11-27;SP4KGB;1;500;SP4OIU;SP4SHJ;SP4DEV;Liga Obrony Kraju;Warszawa;Chocimska;14;;Klub £πcznoúci LOK SP4KGB;I≥awa;WyszyÒskiego;15;;I≥awa;WyszyÒskiego;15;
UKE-Olsztyn;6/K/M/2012;2017-11-27;SP4KCM;1;500;SP4OIZ;SP4HHI;SP4MPD;Liga Obrony Kraju;Warszawa;Chocimska;14;;Klub £πcznoúci LOK SP4KCM;Ruú;;96;1;Ruú;;96;1
UKE-Wroc≥aw;118/K/R/2012;2017-12-01;SP6KYU;1;500;SP6QKB;SP6QKC;SQ6EMJ;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;Klub KrÛtkofalowcÛw PZK ZiÍbickiego Centrum Kultury;ZiÍbice;ul. Wojska Polskiego;10;;ZiÍbice;ul. Wojska Polskiego;10;
UKE-Wroc≥aw;141/K/R/2012;2017-12-01;SP6PWS;1;500;SQ6POL;SQ6RKP;SQ6PNP;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;SP6PWS - Klub KrÛtkofalowcÛw Dolnoúlπskiego OT PZK;Wroc≥aw;;;;Wroc≥aw;ul. Osadnicza;19;
UKE-Katowice;48/K/F/2012;2017-12-03;SP9KJM;1;500;SP9IIA;SP9HQJ;SQ9FII;Liga Obrony Kraju;Warszawa;Chocimska;14;;Klub £πcznoúci LOK SP9KJM;Siemianowice ålπskie;Niepodleg≥oúci;51;;Siemianowice ålπskie;Niepodleg≥oúci;51;
UKE-Katowice;87/K/F/2012;2017-12-03;SP9KDU;1;500;SP9AVZ;SP9WZR;SQ9FMU;Liga Obrony Kraju;Warszawa;Chocimska;14;;Klub £πcznoúci LOK SP9KDU;Tarnowskie GÛry;Sienkiewicza;48;;Tarnowskie GÛry;Sienkiewicza;48;
UKE-KrakÛw;176/K/I/2012;2017-12-03;SP9ZJG;1;150;SP9FWQ;SP9MAX;SP9MAT;Ma≥opolskie Stowarzyszenie KrÛtkofalowcÛw Oddzia≥ Terenowy Polskiego Zwiπzku KrÛtkofalowcÛw w Krakowie;KrakÛw;ul. Basztowa;15;17;Krakowski Klub KrÛtkofalowcÛw;KrakÛw;ul. Basztowa;15;17;KrakÛw;ul. Basztowa;15;17
UKE-Opole;29/K/T/2012;2017-12-06;SP6PCB;1;150;SP6EMH;SP6EIY;SP6OPY;Polski Zwiπzek KrÛtkofalowcÛw Oddzia≥ Terenowy nr 11 w Opolu;Opole;ul. SkautÛw Opolskich;15;XI piÍtro;Brzeski Klub £πcznoúci PZK;Brzeg;Piastowska;4;;Brzeg;Starobrzeska;24c;
UKE-Opole;30/K/T/2012;2017-12-06;SP6PHD;1;150;SP6CIK;SQ6DXP;SP6LUP;Polski Zwiπzek KrÛtkofalowcÛw Oddzia≥ Terenowy nr 11 w Opolu;Opole;ul. SkautÛw Opolskich;15;XI piÍtro;Polski Zwiπzek KrÛtkofalowcÛw Oddzia≥ Terenowy nr 11 w Opolu;Opole;ul. SkautÛw Opolskich;15;XI piÍtro;Opole;Oleska;70;117
UKE-Szczecin;33/K/P/2012;2017-12-07;SP1PBW;1;500;SP1JW;SP1DPA;SP1EG;Polski  Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9 A;16;Wojskowy Klub KrÛtkofalowcÛw PZK SP1PBW;Szczecin;WAWRZYNIAKA;5;;Szczecin;WAWRZYNIAKA;5;
UKE-Warszawa;105/K/B/2012;2017-12-07;SP5PMD;1;150;SQ5RJG;SP5RMK;SQ5ABG;POLSKI ZWI•ZEK KR”TKOFALOWC”W;Warszawa;ul. OkÛlnik;9A;16;Praski Oddzia≥ Terenowy PZK;ØUROMIN;ul. Wiatraczna;16;;ØUROMIN;ul. Wiatraczna;16;
UKE-Bia≥ystok;4/K/C/2012;2017-12-11;SP4KNA;1;150;SQ4MUL;SQ4RCU;SQ4RNA;"Uczniowski Klub Sportowy ""Elektryk""";Bia≥ystok;AL. 1000-Lecia P.P.;14;;"Uczniowski Klub Sportowy ""Elektryk""";Bia≥ystok;AL. 1000-Lecia P.P.;14;;Bia≥ystok;Al. 1000-Lecia P.P.;14;
UKE-Lublin;3/K/K/2012;2017-12-14;SP8ZHY;1;150;SQ8CRH;SQ8NZD;SP8IAP;Chorπgiew Lubelska Zwiπzku Harcerstwa Polskiego;Lublin;ul. I Armii Wojska Polskiego;7;;Chorπgiew Lubelska ZHP Hufiec HrubieszÛw;HrubieszÛw;ul. Zamojska;16 A;;HrubieszÛw;ul. Zamojska;16 A;
UKE-Olsztyn;7/K/M/2012;2017-12-14;SP4KCF;1;500;SP4DNX;SP4BJZ;SP4HHI;Liga Obrony Kraju;Warszawa;Chocimska;14;;Klub £πcznoúci LOK SP4KCF;Olsztyn;Jesienna;3;;Olsztyn;Jesienna;3;
UKE-Wroc≥aw;54/K/R/2012;2017-12-15;SP6PZB;1;500;SP6FAF;SP6RLL;SQ6YO;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;SP6PZB - Klub KrÛtkofalowcÛw Dolnoúlπskiego OT PZK;DzierøoniÛw;ul. Klonowa;2;;DzierøoniÛw;ul. Klonowa;2;
UKE-Warszawa;106/K/B/2012;2017-12-16;SP5ZDH;1;150;SP5IKC;SP5BNB;SQ5CSW;CHOR•GIEW STO£ECZNA ZHP;Warszawa;ul. Piaskowa;4;;"Harcerski Klub £πcznoúci ""PAJ•K""";OTWOCK;Poniatowskiego;10;;OTWOCK;Poniatowskiego;10;
UKE-Katowice;114/K/F/2012;2017-12-17;SP9ZPS;1;150;SQ9CXC;SQ9BER;SQ9GIK;Zwiπzek Harcerstwa Polskiego Chorπgiew ålπska;Katowice;Al.Korfantego;8;;"Harcerski Klub £πcznoúci ""POSMYK"" przy Hufcu ZHP Piekary ålπskie";Piekary ålπskie;Poniatowskiego;1 A;;Piekary ålπskie;Poniatowskiego;1 A;
UKE-KrakÛw;177/K/I/2012;2017-12-17;SP9KOL;1;500;SQ9QH;SQ3POX;SQ9PBW;OgÛlnopolskie Stowarzyszenie KrÛtkofalowcÛw i Mi≥oúnikÛw Eteru;Olkusz;ul. BatalionÛw Ch≥opskich;7;2;OgÛlnopolskie Stowarzyszenie KrÛtkofalowcÛw i Mi≥oúnikÛw Eteru;Olkusz;ul. BatalionÛw Ch≥opskich;7;2;Olkusz;ul. BatalionÛw Ch≥opskich;7;2
UKE-PoznaÒ;9/K/N/2012;2017-12-19;SP3ZAT;1;150;SQ3HVZ;SP3DDP;SP3WYG;ZWI•ZEK HARCERSTWA POLSKIEGO - CHOR•GIEW WIELKOPOLSKA HUFIEC POZNA— - REJON;POZNA—;£UKASZEWICZA;15;;HARCERSKI KLUB £•CZNOåCI SP3ZAT;NEKLA;SZCZEPA—SKIEGO;7;;NEKLA;SZCZEPA—SKIEGO;7;
UKE-Zielona GÛra;11/K/S/2012;2017-12-20;SP3ZHC;1;500;SP3BGD;SP3GAX;SP3NYX;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OK”LNIK;9A;16;Harcerski Klub KrÛtkofalowcÛw przy ZSEiS nr 3;Zielona GÛra;ROLNICZA;7;;Zielona GÛra;ROLNICZA;7;
UKE-Zielona GÛra;35/K/S/2012;2017-12-20;SP3KET;1;500;SQ3LLO;SQ3LLG;SQ3MZS;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OK”LNIK;9A;16;KroúnieÒski Klub KrÛtkofalowcÛw;Krosno OdrzaÒskie;POZNA—SKA;42a;;Krosno OdrzaÒskie;POZNA—SKA;42a;
UKE-Zielona GÛra;4/K/S/2012;2017-12-20;SP3PLD;1;500;SP3IBM;SP3E;SP3FAR;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OK”LNIK;9A;16;Klub KrÛtkofalowcÛw PZK przy åwiebodziÒskim Domu Kultury;åwiebodzin;PI£SUDSKIEGO;39;41;åwiebodzin;PI£SUDSKIEGO;39;41
UKE-Katowice;148/K/F/2012;2017-12-26;SP9YFF;1;500;SP9UPK;SP9RCL;SP9FKQ;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9 A;16;"Klub KrÛtkofalowcÛw PZK - ålπska Grupa KrÛtkofalowcÛw ""Fauna Flora""";Wojkowice;Plaka;4 A;4;Wojkowice;Plaka;4 A;4
UKE-Katowice;80/K/F/2012;2017-12-26;SP9YDX;1;500;SP9QMP;SP9PT;SP9IJU;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9 A;16;KoleøeÒski Klub KrÛtkofalowcÛw;Rydu≥towy;Raciborska;496;1;Rydu≥towy;Raciborska;496;1
UKE-Katowice;83/K/F/2012;2017-12-26;SP9KDC;1;150;SP9OJT;SP9AVA;SP9IFQ;Liga Obrony Kraju;Warszawa;Chocimska;14;;Klub £πcznoúci LOK SP9KDC;Dπbrowa GÛrnicza;Go≥onowska;33;;Dπbrowa GÛrnicza;Go≥onowska;33;
UKE-Bia≥ystok;5/K/C/2012;2017-12-27;SP4ZHX;1;150;SQ4RCU;SQ4SGM;SQ4G;Zwiπzek Harcerstwa Polskiego Chorπgiew Bia≥ostocka;Bia≥ystok;ul. Pa≥acowa;3/1;;Zwiπzek Harcerstwa Polskiego Chorπgiew Bia≥ostocka;Bia≥ystok;ul. Pa≥acowa;3/1;;Bia≥ystok;ul. Pu≥askiego;96;
UKE-Katowice;139/K/F/2012;2017-12-30;SP9ZHQ;1;500;SP9BGS;SP9GT;SP9LDS;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9 A;16;Szkolny Klub KrÛtkofalowcÛw PZK przy ZSTiO w Katowicach;Katowice;Harcerzy Wrzeúnia 1939r;2;;Katowice;Harcerzy Wrzeúnia 1939r;2;
UKE-Olsztyn;8/K/M/2012;2017-12-31;SP4KIE;1;500;SP4JFR;SQ4AFJ;SP4CMH;Liga Obrony Kraju;Warszawa;Chocimska;14;;Klub £πcznoúci LOK SP4KIE;KÍtrzyn;Miejska;7;;KÍtrzyn;Miejska;7;
UKE-Opole;31/K/T/2012;2018-01-04;SP6PSP;1;150;SP6JZG;SP6LK;SP6TPF;Polski Zwiπzek KrÛtkofalowcÛw Oddzia≥ Terenowy nr 11 w Opolu;Opole;ul. SkautÛw Opolskich;15;XI piÍtro;"Klub RadioamatorÛw PZK ""SP6PSP"" przy SpÛ≥dzielni Mieszkaniowej i Domu Kultury w Opolu";Opole;SkautÛw Opolskich;15;XIp;Opole;SkautÛw Op.;15;XI p.
UKE-Katowice;27/K/F/2013;2018-01-06;SP9KVC;1;150;SP9NLB;SP9RCF;SP9TNN;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9 A;16;"Klub £πcznoúci PZK przy Stowarzyszeniu InøynierÛw i TechnikÛw GÛrnictwa Ko≥o Terenowe ""DÍbieÒsko""";Czerwionka-Leszczyny;3 Maja;44;;Czerwionka-Leszczyny;3 Maja;44;
UKE-Katowice;63/K/F/2013;2018-01-06;SP9KJU;1;150;SP9MDY;SQ9JKG;SQ9ITB;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9 A;16;Klub £πcznoúci Radiowej PZK SP9KJU w Raciborzu;RacibÛrz;Serafina Myúliwca;9;2 c;RacibÛrz;Serafina Myúliwca;9;2 c
UKE-Katowice;94/K/F/2013;2018-01-06;SP9YGD;1;150;SP1MGM;SP9NWN;SP1NEN;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9 A;16;KoleøeÒski Klub KrÛtkofalowcÛw w Sosnowcu;Sosnowiec;Kielecka;10;62;Sosnowiec;Kielecka;10;62
UKE-Lublin;4/K/K/2012;2018-01-08;SP8YES;1;500;SP5KP;SP5XVO;SP5IKO;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9 A;16;Rodzinny Klub KrÛtkofalowcÛw Polskiego Zwiπzku KrÛtkofalowcÛw;£ukÛw;Wo≥odyjowskiego;2;5;£ukÛw;Wo≥odyjowskiego;2;5
UKE-Lublin;5/K/K/2012;2018-01-08;SP8PBP;1;500;SP8SW;SP8HXN;SP8NCJ;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9 A;16;Bialski Klub Radiowy Polskiego Zwiπzku KrÛtkofalowcÛw;Bia≥a Podlaska;ul. Armii Krajowej;6;;Bia≥a Podlaska;ul. Armii Krajowej;6;
UKE-Lublin;6/K/K/2012;2018-01-08;SP8PRL;1;500;SP8FNA;SQ8MFM;SP8ENS;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9 A;16;Che≥mski Klub KrÛtkofalowcÛw Polskiego Zwiπzku KrÛtkofalowcÛw;Che≥m;Al. 3-go Maja;4;12;Che≥m;ul. Wojs≥awicka;21;23
UKE-Szczecin;146/K/P/2012;2018-01-08;SP1KAA;1;150;SP1MWH;SP1GLZ;SP1BNS;Liga Obrony Kraju;Warszawa;Chocimska;14;;Klub £πcznoúci LOK SP1KAA;Szczecin;åW.WOJCIECHA;12;;Szczecin;åW.WOJCIECHA;12;
UKE-Zielona GÛra;20/K/S/2013;2018-01-09;SP3PFY;1;500;SP3AMO;SP3AZO;SP3IY;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OK”LNIK;9A;16;KLUB KR”TKOFALOWC”W PZK przy ZOZ PZK w ZIELONEJ G”RZE;Zielona GÛra;ROLNICZA;7;;Zielona GÛra;ROLNICZA;7;
UKE-Zielona GÛra;38/K/S/2013;2018-01-09;SP3PJW;1;500;SP3SBY;SP3GVX;SP3WVL;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OK”LNIK;9A;16;"S≥ubicki Klub KrÛtkofalowcÛw PZK ""Druciarnia SP3PJW";S≥ubice;KOPERNIKA;71;7;S≥ubice;KOPERNIKA;71;7
UKE-Bydgoszcz;74/K/D/2012;2018-01-10;SP2ZBS;1;500;SQ2RWG;SP2RXC;SP2ERD;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;Harcerski Klub KrÛtkofalowcÛw R-15;ToruÒ;Moniuszki;37a;3;ToruÒ;ul. Moniuszki;37a;3
UKE-Szczecin;140/K/P/2012;2018-01-10;SP1KCJ;1;500;SP1MZ;SP1EYA;SP1MVW;Liga Obrony Kraju;Warszawa;Chocimska;14;;Klub £πcznoúci LOK SP1KCJ;Stargard SzczeciÒski;SzczeciÒska;17;;Stargard SzczeciÒski;SzczeciÒska;17;
UKE-Szczecin;144/K/P/2012;2018-01-10;SP1KNJ;1;150;SP1ASU;SP1TMN;SP1NVM;Liga Obrony Kraju;Warszawa;Chocimska;14;;"Klub £πcznoúci LOK SP1KNJ, Radioclub LOK ""Pod Øaglami""";Szczecin;Przestrzenna;13;;Szczecin;Przestrzenna;13;
UKE-Szczecin;145/K/P/2012;2018-01-10;SP1KKO;1;150;SP1JPQ;SP1MWH;SP1GLZ;Liga Obrony Kraju;Warszawa;Chocimska;14;;Klub £πcznoúci LOK SP1KKO;Szczecin;åW.WOJCIECHA;12;;Szczecin;åW.WOJCIECHA;12;
UKE-Szczecin;157/K/P/2012;2018-01-10;SP1KYB;1;500;SP1F;SP1TJ;SP1NZ;Ba≥tyckie Stowarzyszenie KrÛtkofalowcÛw;Ko≥obrzeg;Gie≥dowa;11;35;Ba≥tyckie Stowarzyszenie KrÛtkofalowcÛw;Ko≥obrzeg;Gie≥dowa;11;35;Ko≥obrzeg;Gie≥dowa;11;35
UKE-KrakÛw;178/K/I/2013;2018-01-11;SP9PSJ;1;150;SP9ODM;SP9JRA;SP9MAX;Ma≥opolskie Stowarzyszenie KrÛtkofalowcÛw Oddzia≥ Terenowy Polskiego Zwiπzku KrÛtkofalowcÛw w Krakowie;KrakÛw;ul. Basztowa;15;17;Klub £πcznoúci przy Straøy Poøarnej w Jeziorzanach;Jeziorzany;;3;;Jeziorzany;;3;
UKE-PoznaÒ;1/K/N/2013;2018-01-14;SP3KNI;1;150;SP6OPZ;SP6FRF;SP3MEP;POLSKI ZWI•ZEK KR”TKOFALOWC”W;WARSZAWA;OK”LNIK;9A;16;PRZYSZKOLNY KLUB KR”TKOFALOWC”W SP3KNI;LESZNO;NARUTOWICZA;74A;;LESZNO;NARUTOWICZA;74A;
UKE-PoznaÒ;2/K/N/2013;2018-01-14;SP3ZIR;1;150;SQ3OOG;SQ3REF;SQ3KCH;POLSKI ZWI•ZEK KR”TKOFALOWC”W;WARSZAWA;OK”LNIK;9A;16;"LESZCZY—SKI KLUB KR”TKOFALOWC”W SP3ZIR ""KWARC""";LESZNO;NARUTOWICZA;74A;;LESZNO;NARUTOWICZA;74A;
UKE-PoznaÒ;4/K/N/2013;2018-01-14;SP3KZG;1;150;SP3MYS;SP3NNH;SQ3REE;POLSKI ZWI•ZEK KR”TKOFALOWC”W;WARSZAWA;OK”LNIK;9A;16;KLUB KR”TKOFALARSKI SP3KZG W OSTRZESZOWIE;OSTRZESZ”W;LEåNA;15;;OSTRZESZ”W;LEåNA;15;
UKE-Wroc≥aw;004/K/R/2013;2018-01-15;SP6PCH;1;500;SP6OWJ;SQ6OU;SP6DMQ;Sudecki Oddzia≥ Terenowy Polskiego Zwiπzku KrÛtkofalowcÛw;Kamienna GÛra;ul. Piastowska;3;;Klub Mi≥oúnikÛw Radia oraz £πcznoúci DalekosiÍønych;Komarno;;33A;;Komarno;;33A;
UKE-Szczecin;150/K/P/2012;2018-01-16;SP1KZO;1;150;SQ1RET;SQ1BSW;SQ1DNR;Liga Obrony Kraju;Warszawa;Chocimska;14;;Klub £πcznoúci LOK SP1KZO;Lipiany;Szkolna;17;;Lipiany;Szkolna;17;
UKE-Szczecin;5/K/P/2013;2018-01-18;SP1PMY;1;500;SP1JJY;SQ1SNU;SQ1TAW;Polski Zwiπzk KrÛtkofalowcÛw;Warszawa;OkÛlnik;9A;16;Myúliborski Klub £πcznoúci PZK;MyúlibÛrz;1 MAJA;19;;MyúlibÛrz;1 MAJA;19;
UKE-Szczecin;6/K/P/2013;2018-01-18;SP1KEN;1;500;SP3DRY;SP1WWS;SP3FPF;Polski Zwiπzk KrÛtkofalowcÛw;Warszawa;OkÛlnik;9A;16;Szkolny Klub £πcznoúci PZK;DÍbno;Pi≥sudskiego;10;;DÍbno;Pi≥sudskiego;10;
UKE-Szczecin;8/K/P/2013;2018-01-18;SP1PEA;1;500;SP1UJO;SQ1RER;SP1NQR;årodkowopomorski Oddzia≥ Polskiego Zwiπzku KrÛtkofalowcÛw w Koszalinie;Koszalin;åniadeckich;1A;16;"Klub KrÛtkofalowcÛw przy KSM ""Na Skarpie""";Koszalin;Kwiatkowskiego;26A;;Koszalin;Kwiatkowskiego;26A;
UKE-PoznaÒ;3/K/N/2013;2018-01-19;SP3PKC;1;150;SP3EQU;SP3SLD;SQ3RJP;POLSKI ZWI•ZEK KR”TKOFALOWC”W;WARSZAWA;OK”LNIK;9A;16;"KLUB KR”TKOFALOWC”W SP3PKC ""LAMBDA""";åREM;PLAC STRAØY POØARNEJ;1;;åREM;PLAC STRAØY POØARNEJ;1;
UKE-Bia≥ystok;1/K/C/2013;2018-01-24;SP4PBI;1;500;SP4Z;SP4INT;SP4GFG;Klub KrÛtkofalowcÛw PZK przy Zespole SzkÛ≥ Mechanicznych w £apach SP4PBI;£apy;ul. Sikorskiego;68;;Klub KrÛtkofalowcÛw PZK przy Zespole SzkÛ≥ Mechanicznych w £apach SP4PBI;£apy;ul. Sikorskiego;68;;£apy;ul. Sikorskiego;68;
UKE-Bydgoszcz;76/K/D/2013;2018-01-29;SP2PBY;1;500;SP2DDX;SP2GJI;SP2IU;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;Bydgoski Oddzia≥ Polskiego Zwiπzku KrÛtkofalowcÛw;Bydgoszcz;Modrzewiowa;25;;Bydgoszcz;ul. Modrzewiowa;25;
UKE-KrakÛw;179/K/I/2013;2018-01-29;SP9ZJF;1;150;SP9LLF;SP9CUX;SP9MAN;Ma≥opolskie Stowarzyszenie KrÛtkofalowcÛw Oddzia≥ Terenowy Polskiego Zwiπzku KrÛtkofalowcÛw w Krakowie;KrakÛw;ul. Basztowa;15;17;"Harcerski Klub £πcznoúci ""SokÛ≥""";Skawina;ul. £anowa;47A;;Skawina;ul. £anowa;47A;
UKE-Warszawa;1/K/B/2013;2018-01-29;SP5KCR;1;500;SP5PB;SQ5TDN;SQ5WWK;LIGA OBRONY KRAJU;Warszawa;ul. Chocimska;14;;Klub £πcznoúci  LOK  SP5KCR;Warszawa;Chocimska;14;;Warszawa;ul. Chocimska;14;
UKE-Warszawa;2/K/B/2013;2018-01-29;SP5KAB;1;500;SP5AYY;SP5UD;SP5XOC;LIGA OBRONY KRAJU;Warszawa;ul. Chocimska;14;;Klub £πcznoúci LOK SP5KAB;Warszawa;ul. Mokotowska;17;34;Warszawa;ul. Mokotowska;17;34
UKE-KrakÛw;180/K/I/2013;2018-01-30;SP9KAO;1;500;SP9GLJ;SQ9AOR;SP9LAS;Liga Obrony Kraju;Warszawa;ul. Chocimska;14;;Klub £πcznoúci LOK SP9KAO;TarnÛw;ul. Krzyska;17;;TarnÛw;ul. Krzyska;17;
UKE-Warszawa;3/K/B/2013;2018-01-31;SP5PLW;1;150;SQ5RGY;SQ5STY;SQ5CSD;POLSKI ZWI•ZEK KR”TKOFALOWC”W;Warszawa;ul. OkÛlnik;9A;16;Praski Oddzia≥ Terenowy PZK;BraÒszczyk;ul. Nadbuøna;3;;BraÒszczyk;ul. Nadbuøna;3;
UKE-Zielona GÛra;9/K/S/2013;2018-02-07;SP3PAA;1;500;SP3CMX;SP3CAI;SP3DOF;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OK”LNIK;9A;16;GORZOWSKI KLUB KR”TKOFALOWC”W PZK;GorzÛw;WALCZAKA;13;;GorzÛw;WALCZAKA;13;
UKE-Warszawa;4/K/B/2013;2018-02-08;SP7PCZ;1;150;SQ7JZO;SP7MJX;SQ5CSF;POLSKI ZWI•ZEK KR”TKOFALOWC”W;Warszawa;ul. OkÛlnik;9A;16;"Terenowo-contestowy Klub KrÛtkofalarski ""Alberyk""";Koz≥Ûw  Biskupi;ul. Nadrzeczna;2;;Koz≥Ûw  Biskupi;ul. Nadrzeczna;2;
UKE-PoznaÒ;6/K/N/2013;2018-02-09;SP3KLZ;1;150;SQ3LVN;SQ3KCD;SP3EPG;LIGA OBRONY KRAJU;WARSZAWA;CHOCIMSKA;14;;KLUB £•CZNOåCI LOK W PILE;PI£A;AL.NIEPODLEG£OåCI;154;;PI£A;AL.NIEPODLEG£OåCI;154;
UKE-PoznaÒ;7/K/N/2013;2018-02-10;SP3ZKP;1;150;SQ3KLI;SP3AMY;SQ3KCD;POLSKI ZWI•ZEK KR”TKOFALOWC”W;WARSZAWA;OK”LNIK;9A;16;1-SZA SAMODZIELNA DRUØYNA £•CZNOåCI IM. O.O. MAKSYMILIANA MARII KOLBE;PI£A;AL.NIEPODLEG£OåCI;22;;PI£A;AL.NIEPODLEG£OåCI;22;
UKE-Katowice;162/K/F/2013;2018-02-13;SP9PDS;1;150;SQ9JKN;SQ9UU;SQ9SMC;Pododdzia≥y Tradycji OrÍøa Polskiego - Polskich Druøyn Strzeleckich;CzÍstochowa;StryjeÒskiej;4/6;20;Pododdzia≥y Tradycji OrÍøa Polskiego - Polskich Druøyn Strzeleckich;CzÍstochowa;StryjeÒskiej;4/6;20;CzÍstochowa;JagielloÒska;141;
UKE-Katowice;6/K/F/2013;2018-02-13;SP9KJT;1;500;SP9IKF;SP9TCE;SP9UXS;Liga Obrony Kraju;Warszawa;Chocimska;14;;Klub £πcznoúci LOK SP9KJT;Rybnik;Prosta;11;;Rybnik;Prosta;11;
UKE-Szczecin;12/K/P/2013;2018-02-14;SP1PKW;1;500;SP1NL;SP1EG;SQ1GYG;Polski Zwiπzk KrÛtkofalowcÛw;Warszawa;OkÛlnik;9A;16;Klub £πcznoúci PZK Wiking;Wolin;Zamkowa;21;;Wolin;Zamkowa;21;
UKE-KrakÛw;181/K/I/2013;2018-02-15;SP9ZCJ;1;150;SP9BCV;SP9WTS;SP9FQW;Zwiπzek Harcerstwa Polskiego Chorπgiew Krakowska;KrakÛw;ul. Karmelicka;31;;Harcerski Klub £πcznoúci ZHP Chorπgwi Krakowskiej SP9ZCJ;KrakÛw;ul. Karmelicka;31;4;KrakÛw;ul. Karmelicka;31;4
UKE-Bydgoszcz;77/K/D/2013;2018-02-19;SP0OTC;1;500;SP2IW;SP2EXN;SP2IU;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;OgÛlnopolski Klub SeniorÛw PZK;Bydgoszcz;ToruÒska;47a;3;Bydgoszcz;ul. ToruÒska;47a;3
UKE-Bydgoszcz;79/K/D/2013;2018-02-21;SP2ZAO;1;150;SQ2FRQ;SQ2HCE;SP2RIQ;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;Harcerski Klub £πcznoúci DROMADER;Bydgoszcz;ul. A.G.Siedleckiego;30;;Bydgoszcz;ul. A.G.Siedleckiego;30;
UKE-Katowice;59/K/F/2013;2018-02-21;SP9PZD;1;500;SP9FOW;SP9HYA;SP9GCV;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9 A;16;Klub KrÛtkofalowcÛw PZK;åwierklany;Parytetyczna;40;;åwierklany;Parytetyczna;40;
UKE-Bydgoszcz;78/K/D/2013;2018-02-26;SP2PMK;1;150;SP2JLR;SP2SWW;SP2EPV;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;ToruÒski Klub KrÛtkofalowcÛw przy M≥odzieøowej SpÛ≥dzielni Mieszkaniowej;ToruÒ;ul. Tuwima;9;;ToruÒ;ul. Tuwima;9;
UKE-£Ûdü;132/K/L/2013;2018-02-26;SP7PBC;1;150;SP7VH;SP7HQ;SQ5FBI;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9a;16;Skierniewicki Klub KrÛtkofalowcÛw SP7PBC Polskiego Zwiπzku KrÛtkofalowcÛw;Skierniewice;Tetmajera;5;47;Skierniewice;Tetmajera;5;47
UKE-£Ûdü;133/K/L/2013;2018-02-28;SP7PTK;1;500;SP7VS;SQ7BFT;SQ7BFS;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9a;16;Pabianickie Towarzystwo KrÛtkofalowcÛw;Pabianice;Traugutta;4C;;Pabianice;Traugutta;4C;
