number;valid_to;call_sign;category;transmitter_power;applicant_name;applicant_city;applicant_street;applicant_house;applicant_number;enduser_name;enduser_city;enduser_street;enduser_house;enduser_number;station_city;station_street;station_house;station_number;lat;lng
DC.WML.5101.530.2019.2;2020-02-22;SN0BURZA;Dodatkowe;500;Warszawski Oddzia³ Terenowy Polskiego Zwi¹zku Krótkofalowców;Warszawa;ul. Eugeniusza Lokajskiego;22;42;"";"";"";"";"";Warszawa;ul. Eugeniusza Lokajskiego;22;42;;
DC.WML.5101.531.2019.2;2020-02-22;SN1944W;Dodatkowe;500;Warszawski Oddzia³ Terenowy Polskiego Zwi¹zku Krótkofalowców;Warszawa;ul. Eugeniusza Lokajskiego;22;42;"";"";"";"";"";Warszawa;ul. Eugeniusza Lokajskiego;22;42;52.1406816129;21.0655593704
DC.WML.5101.532.2019.2;2020-02-08;SP1944W;Dodatkowe;500;Warszawski Oddzia³ Terenowy Polskiego Zwi¹zku Krótkofalowców;Warszawa;ul. Eugeniusza Lokajskiego;22;42;"";"";"";"";"";Warszawa;ul. Eugeniusza Lokajskiego;22;42;52.1406816129;21.0655593704
DC.WML.5101.533.2019.2;2020-02-08;SO1944W;Dodatkowe;1500;Warszawski Oddzia³ Terenowy Polskiego Zwi¹zku Krótkofalowców;Warszawa;ul. Eugeniusza Lokajskiego;22;42;"";"";"";"";"";Zegrze;ul. Juzistek;2 bl.4;328A;;
DC.WML.5101.534.2019.2;2020-02-08;SO75PW;Dodatkowe;1500;Warszawski Oddzia³ Terenowy Polskiego Zwi¹zku Krótkofalowców;Warszawa;ul. Eugeniusza Lokajskiego;22;42;"";"";"";"";"";B³onie;ul. Józefa Pi³sudskiego;6;53;;
DC.WML.5101.535.2019.2;2020-02-08;SN75W;Dodatkowe;1500;Warszawski Oddzia³ Terenowy Polskiego Zwi¹zku Krótkofalowców;Warszawa;ul. Eugeniusza Lokajskiego;22;42;"";"";"";"";"";Pruszków;ul. Kubusia Puchatka;11;2;51.5417449433;19.0541619636
DC.WML.5101.1414.2019.2;2029-04-18;SP2YUV;Kategoria1;500;Kujawskie Stowarzyszenie Krótkofalowców;W³oc³awek;ul. Smólska;9;15;"";"";"";"";"";W³oc³awek;ul. Smólska;9;15;;
DC.WML.5101.563.2019.2;2029-02-12;SP0OTC;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Ko³o;ul. Kolejowa;78;44;51.4319416006;19.8436289154
DC.WML.5101.1207.2019.2;2029-05-30;SP2YMX;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Che³mno;ul. Dominikañska;16;3;53.3516303623;18.4405914461
DC.WML.5101.1277.2019.2;2029-04-11;SP6KCN;Kategoria1;500;Europejskie Centrum Radiokomunikacji Amatorskiej - Góra Che³miec;Szczawno Zdrój;Wie¿a Widokowa Góra Che³miec;"";"";"";"";"";"";"";Szczawno Zdrój;Wie¿a Widokowa Góra Che³miec;"";"";;
DC.WML.5101.1302.2019.2;2020-04-12;3Z1M;Dodatkowe;1500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Kobylanka;ul. Jeziorna;6;"";53.3429727645;14.8853563591
DC.WML.5101.1303.2019.2;2020-04-12;3Z1OD;Dodatkowe;1500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Szczecin;ul. Rubinowa;5;28;;
DC.WML.5101.1304.2019.2;2020-04-12;3Z18MPS;Dodatkowe;1500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Myœlibórz;ul. Spokojna;22;"";52.9228658599;14.8625266189
DC.WML.5101.1341.2019.2;2020-04-15;HF1919PS;Dodatkowe;1500;Zwi¹zek Harcerstwa Polskiego, Chor¹giew Œl¹ska;Katowice;Al. Korfantego;8;"";"";"";"";"";"";Œwiêtoch³owice;ul. Krauzego;1;21 A;;
DC.WML.5101.1387.2019.2;2020-05-05;SN0NDPZW;Dodatkowe;150;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Gowarzewo;ul. Szafranowa;10;"";52.3624744741;17.1389647174
DC.WML.5101.1401.2019.2;2020-04-17;HF100PS;Dodatkowe;500;Liga Obrony Kraju;Warszawa;Chocimska;14;"";"";"";"";"";"";Gliwice;ul. Korfantego;6;"";;
DC.WML.5101.1402.2019.2;2020-04-17;SN3R;Dodatkowe;1500;Liga Obrony Kraju;Warszawa;Chocimska;14;"";"";"";"";"";"";Nowa Sól;Al.Wolnoœci;8;"";54.1377274141;18.199133639
DC.WML.5101.1403.2019.2;2029-04-17;SP2KJH;Kategoria1;500;Liga Obrony Kraju;Warszawa;Chocimska;14;"";"";"";"";"";"";Grudzi¹dz;ul. Cegielniana;3;"";;
DC.WML.5101.1404.2019.3;2020-04-17;SP2KRS;Dodatkowe;500;Liga Obrony Kraju;Warszawa;Chocimska;14;"";"";"";"";"";"";Grudzi¹dz;ul. Cegielniana;3;"";53.4413863757;18.7957547822
DC.WML.5101.1406.2019.2;2020-04-26;SP6G;Dodatkowe;1500;Liga Obrony Kraju;Warszawa;Chocimska;14;"";"";"";"";"";"";G³ogów;ul. Kamienna Droga;2;"";;
DC.WML.5101.1409.2019.2;2020-04-17;HF9MUZEUM;Dodatkowe;500;Liga Obrony Kraju;Warszawa;Chocimska;14;"";"";"";"";"";"";Gliwice;ul. Korfantego;6;"";50.3024011862;18.645142713
DC.WML.5101.1784.2019.2;2029-05-23;SP3ZBZ;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Chodzie¿;ul. Mostowa;14;"";;
DC.WML.5101.1456.2019.2;2029-04-26;SN6ZDA;Kategoria1;500;Zwi¹zek Harcerstwa Polskiego Chor¹giew Dolnoœl¹ska;Wroc³aw;ul. Nowa;6;"";"";"";"";"";"";Wroc³aw;Pl. Œwiêtego Macieja;5 A;"";51.0957610884;16.9356663251
DC.WML.5101.1457.2019.2;2029-04-26;SP6ZHP;Kategoria1;500;Zwi¹zek Harcerstwa Polskiego Chor¹giew Dolnoœl¹ska;Wroc³aw;ul. Nowa;6;"";"";"";"";"";"";Wroc³aw;ul. Nowa;6;"";;
DC.WML.5101.1487.2019.3;2029-04-30;SP9ZHC;Kategoria1;500;Zwi¹zek Harcerstwa Polskiego, Chor¹giew Œl¹ska;Katowice;Al. Korfantego;8;"";"";"";"";"";"";Kucoby;"";35;"";50.8805253382;18.6174972104
DC.WML.5101.1542.2019.2;2029-05-09;SP8KHK;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Baligród;ul. Balów;2;"";;
DC.WML.5101.1548.2019.2;2020-05-09;3Z80OWG;Dodatkowe;1500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";¯ywiec;ul. Moszczanicka;9;"";49.6891519481;19.2019298561
DC.WML.5101.1569.2019.2;2020-05-10;SN6E;Dodatkowe;1500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Wroc³aw;ul. Osadnicza;19;"";;
DC.WML.5101.1640.2019.2;2020-05-28;SN5I;Dodatkowe;1500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Stara Wieœ;ul. Grodziska;154A;"";54.4217642615;18.0721010787
DC.WML.5101.1705.2019.2;2020-06-05;SN1D;Dodatkowe;1500;Œrodkowopomorski Oddzia³ Polskiego Zwi¹zku Krótkofalowców w Koszalinie;Koszalin;Œniadeckich;1A;16;"";"";"";"";"";Dar³owo;ul. Królowej Jadwigi;5 D;9;;
DC.WML.5101.1743.2019.2;2020-05-17;SN2B;Dodatkowe;1500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Ko³aczkowo;Ko³aczkowo;23;"";52.218310313;17.620130888
DC.WML.5101.1789.2019.2;2029-05-23;SP0YOTA;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Bogunów;ul. Marii Konopnickiej;19;"";;
